Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Saudi Arabia,SAU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,2.200000048,,,2.3,2.3,,2.21,2.2,2.2,,,2.1,,,,,
Sudan,SDN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.699999988,,0.7,,0.73,0.73,0.7,0.7,,,0.8,,,,,
Senegal,SEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,0.1,0.3,,,,,,,,,
Singapore,SGP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,2.900000095,,2.8,,3.2,3.2,3.22,3.1,,,2,,,,,,
Solomon Islands,SLB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,2.2,,1.4,,,,,,,1.3,,,,,
Sierra Leone,SLE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,0.4,,,,,,,,,,,
El Salvador,SLV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.9,0.9,0.7,0.8,1.1,1,1,1.1,,,,,
San Marino,SMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,3.85,3.8,,,,,
Somalia,SOM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Serbia,SRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,5.9,5.4,5.4,,5.4,,,,,,,,
South Sudan,SSD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,3.2,,,3.2,,,,,2.9,,,,,,
Suriname,SUR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.9,3.599999905,,,3.1,,3.3,3.1,,2.6,3.1,,,,,,,
Slovak Republic,SVK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.900000095,7.699999809,7.599999905,7.199999809,,6.9,6.81,6.8,6.6,6.5,6.42,6,,,,,,
Slovenia,SVN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.429999828,5.159999847,,5,,4.8,4.8,4.7,4.7,4.6,4.57,4.6,4.544617,4.552046,,,,
