Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iraq,IRQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.575,5.561,5.571,5.6,5.641,5.683,5.711,5.719,5.7,5.652,5.578,5.484,5.381,5.279,5.183,5.096,5.02,
Iceland,ISL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.5,6.1,6.3,6.3,6.2,6.2,6.3,6.2,6.3,6.3,6.4,6.2,6.1,6.7,6.3,6.6,6.9,
Israel,ISR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6,5.8,5.8,5.8,5.6,5.6,5.5,5.6,5.4,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.1,
Italy,ITA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.8,9.6,9.8,10.2,9.5,9.8,9.6,9.8,9.9,10,9.9,10,10.3,10,9.8,10.7,10.1,
Jamaica,JAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.214,7.208,7.193,7.167,7.133,7.09,7.041,6.989,6.94,6.896,6.862,6.844,6.842,6.856,6.885,6.928,6.98,
Jordan,JOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.126,4.075,4.031,3.993,3.963,3.938,3.919,3.903,3.889,3.878,3.867,3.857,3.848,3.84,3.834,3.829,3.828,
Japan,JPN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.7,7.7,8.1,8.4,8.050859795,8.530753759,8.53,8.71,9.1,9.1,9.5,9.9,10,10.1,10.1,10.3,10.5,
Kazakhstan,KAZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.06,9.95,10.05,10.41,10.14,10.37,10.27,10.22,9.74,8.9,8.97,8.75,8.51,7.98,7.57,7.48,7.37,
Kenya,KEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.427,12.267,11.967,11.541,11.008,10.392,9.725,9.046,8.393,7.794,7.273,6.843,6.494,6.213,5.998,5.841,5.732,
Kyrgyz Republic,KGZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7,6.6,7.1,7.1,6.9,7.2,7.4,7.2,7.1,6.7,6.6,6.5,6.5,6.1,6.1,5.8,5.5,
Cambodia,KHM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.426,8.983,8.553,8.153,7.792,7.478,7.213,6.99,6.801,6.643,6.512,6.404,6.313,6.236,6.169,6.109,6.055,
Kiribati,KIR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.576,7.451,7.353,7.28,7.23,7.199,7.181,7.171,7.161,7.15,7.134,7.112,7.088,7.062,7.036,7.01,6.986,
"Korea, Rep.",KOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.2,5,5.1,5.1,5,5,5,5,5,5,5.1,5.1,5.3,5.3,5.3,5.4,5.5,
Kuwait,KWT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.527,2.531,2.533,2.535,2.538,2.54,2.541,2.541,2.54,2.541,2.545,2.554,2.571,2.597,2.633,2.681,2.739,
Lao PDR,LAO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.764,9.433,9.126,8.839,8.574,8.328,8.103,7.895,7.704,7.528,7.366,7.218,7.084,6.963,6.854,6.754,6.663,
Lebanon,LBN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.503,5.359,5.224,5.097,4.982,4.88,4.795,4.725,4.669,4.629,4.6,4.582,4.573,4.57,4.575,4.591,4.62,
Liberia,LBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.167,13.969,13.692,13.289,12.759,12.128,11.448,10.792,10.212,9.729,9.348,9.054,8.807,8.577,8.35,8.12,7.888,
Libya,LBY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.75,4.747,4.736,4.72,4.701,4.686,4.687,4.709,4.756,4.825,4.909,4.996,5.075,5.137,5.179,5.201,5.208,
Liechtenstein,LIE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3,6.6,6.4,6.4,5.7,6.2,6.3,6.4,5.8,6.4,6.6,6.8,6.1,6.7,7.2,6.7,7.2,
Sri Lanka,LKA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.007,6.723,6.462,6.268,6.158,6.134,6.18,6.259,6.343,6.422,6.489,6.547,6.603,6.666,6.737,6.814,6.899,
Lesotho,LSO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.727,16.435,16.911,17.132,17.092,16.82,16.373,15.843,15.308,14.812,14.383,14.026,13.713,13.425,13.16,12.919,12.702,
Lithuania,LTU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.1,11.6,11.9,12,12.2,13.2,13.7,14.1,13.7,13.3,13.6,13.6,13.7,14,13.7,14.4,14.3,
Luxembourg,LUX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.6,8.4,8.4,9,7.8,7.8,8,8.1,7.4,7.3,7.4,7.4,7.3,7,6.9,7,6.8,
Latvia,LVA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.6,14.1,14.1,14.2,14.2,14.6,14.9,15,14.2,14,14.3,13.9,14.3,14.3,14.3,14.4,14.6,
"Macao SAR, China",MAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.852,3.83,3.811,3.795,3.781,3.768,3.752,3.734,3.714,3.694,3.676,3.666,3.667,3.682,3.711,3.753,3.806,
Morocco,MAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.322,6.234,6.134,6.023,5.904,5.781,5.661,5.55,5.453,5.372,5.308,5.259,5.22,5.19,5.165,5.145,5.13,
Monaco,MCO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,15.9,,,,,,,,,,,7.6,7.9,
Moldova,MDA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.716,11.73,11.76,11.816,11.895,11.98,12.042,12.058,12.016,11.919,11.786,11.641,11.517,11.436,11.405,11.424,11.481,
Madagascar,MDG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.199,9.786,9.412,9.074,8.771,8.498,8.249,8.017,7.796,7.582,7.374,7.173,6.981,6.801,6.633,6.475,6.328,
Maldives,MDV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.682,4.423,4.188,3.978,3.794,3.64,3.524,3.445,3.402,3.389,3.395,3.409,3.42,3.42,3.406,3.377,3.339,
Mexico,MEX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.655,4.63,4.613,4.601,4.594,4.592,4.596,4.607,4.625,4.648,4.676,4.706,4.736,4.766,4.796,4.824,4.852,
Marshall Islands,MHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,,,,,,,,3.7,,,,,,
Mali,MLI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,18.285,17.719,17.09,16.431,15.762,15.108,14.488,13.912,13.384,12.908,12.481,12.093,11.727,11.37,11.017,10.667,10.32,
Malta,MLT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.5,7.4,7.6,7.9,7.5,7.8,7.9,7.6,7.9,7.8,7.3,7.8,8.1,7.6,7.7,8,7.6,
